Validation Error	Training Error	
 9.0079e-01	 9.9405e-01	
 7.9960e-01	 9.4841e-01	
 7.2421e-01	 8.7368e-01	
 6.2698e-01	 8.3333e-01	
 5.3373e-01	 7.9101e-01	
 4.8413e-01	 7.3280e-01	
 4.2460e-01	 6.8386e-01	
 3.8492e-01	 6.4947e-01	
 3.6905e-01	 6.1574e-01	
 3.5913e-01	 5.7804e-01	
 3.4921e-01	 5.3770e-01	
 3.2937e-01	 5.0066e-01	
 3.1944e-01	 4.4974e-01	
 2.8571e-01	 4.0079e-01	
 2.3810e-01	 3.5251e-01	
 2.3413e-01	 3.1085e-01	
 2.2024e-01	 2.8108e-01	
 2.0833e-01	 2.5728e-01	
 1.7063e-01	 2.4339e-01	
 1.2698e-01	 2.0767e-01	
 1.1310e-01	 1.8519e-01	
 1.0317e-01	 1.8651e-01	
 1.1508e-01	 1.8585e-01	
 1.0714e-01	 1.7526e-01	
 9.1270e-02	 1.5079e-01	
 8.5317e-02	 1.3426e-01	
 7.5397e-02	 1.1971e-01	
 6.5476e-02	 1.1243e-01	
 6.3492e-02	 1.0251e-01	
 6.1508e-02	 9.4577e-02	
 5.9524e-02	 8.5979e-02	
 5.7540e-02	 7.8042e-02	
 5.5556e-02	 7.2090e-02	
 5.3571e-02	 6.8783e-02	
 5.1587e-02	 6.6138e-02	
 4.5635e-02	 5.8201e-02	
 4.1667e-02	 5.1587e-02	
 4.1667e-02	 4.2989e-02	
 3.5714e-02	 3.7037e-02	
 3.5714e-02	 3.5053e-02	
 3.1746e-02	 3.3069e-02	
 3.1746e-02	 3.1085e-02	
 3.1746e-02	 2.9101e-02	
 3.1746e-02	 2.1825e-02	
 3.1746e-02	 1.9180e-02	
 2.9762e-02	 1.7857e-02	
 2.7778e-02	 1.3228e-02	
 2.7778e-02	 1.1905e-02	
 2.7778e-02	 1.1243e-02	
 2.7778e-02	 9.2593e-03	
